Ship,Engine,Engine ID,Fuel Pump ID,Time Til Failure (hours),Fuel Tank Feed,Date,Density (kg/m3),Water Reaction Vol Change (ml),Flash Point (celsius),Filter Blocking Tendency,Cloud Point (celsius),Sulphur (%),Colony Forming Units (CFU/ml),Water content (mg/kg)
QNLZ,DG1,QNLZ_DG1,DG1_Pump_1,7342.41,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_2,7989.62,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_3,7886.41,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_4,8664.89,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_5,8231.22,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_6,8099.21,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_7,8271.0,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_8,7615.47,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_9,8002.33,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_10,8452.55,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_11,7042.66,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_12,6482.07,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_13,6738.94,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_14,9525.93,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_15,7867.48,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_16,6956.57,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_1,8929.05,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_2,7300.5,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_3,8169.51,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_4,7281.17,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_5,7738.09,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_6,8117.36,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_7,7535.9,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_8,6672.49,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_9,7900.26,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_10,6986.36,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_11,8175.47,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_12,7959.85,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_13,8071.0,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_14,7688.98,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_15,8420.11,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG2,QNLZ_DG2,DG2_Pump_16,9240.56,FWD DG RU,2021-01-01,812.23,1.22,62.92,1.07,0.0,0.284,48.07,91.13
QNLZ,DG1,QNLZ_DG1,DG1_Pump_1,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_2,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_3,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_4,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_5,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_6,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_7,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_8,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_9,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_10,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_11,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_12,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_13,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_14,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_15,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_16,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_1,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_2,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_3,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_4,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_5,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_6,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_7,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_8,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_9,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_10,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_11,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_12,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_13,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_14,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_15,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_16,,FWD DG RU,2021-02-01,811.73,1.11,62.43,0.87,0.0,0.265,43.06,81.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_1,,FWD DG RU,2021-03-01,811.22,1.02,61.93,0.68,0.0,0.247,38.08,71.12
QNLZ,DG1,QNLZ_DG1,DG1_Pump_2,,FWD DG RU,2021-03-01,811.22,1.02,61.93,0.68,0.0,0.247,38.08,71.12
