Ship,Engine,Engine ID,Fuel Pump ID,Time Til Failure (hours),Fuel Tank Feed,Date,Density (kg/m3),Water Reaction Vol Change (ml),Flash Point (celsius),Filter Blocking Tendency,Cloud Point (celsius),Sulphur (%),Colony Forming Units (CFU/ml),Water content (mg/kg)
QNLZ,DG2,QNLZ_DG2,DG2_Pump_3,4717.8,FWD DG RU,2021-01-01,812.31,2.21,60.41,2.67,0.0,0.093,10.38,178.64
QNLZ,DG2,QNLZ_DG2,DG2_Pump_10,6088.84,FWD DG RU,2021-02-01,811.81,2.1,59.92,2.47,0.0,0.084,5.38,168.65
QNLZ,DG2,QNLZ_DG2,DG2_Pump_7,5730.78,FWD DG RU,2021-03-01,811.3,2.01,59.41,2.28,0.0,0.062,0.39,158.64
QNLZ,DG1,QNLZ_DG1,DG1_Pump_5,6726.86,FWD DG RU,2021-04-01,810.81,1.91,58.92,2.06,0.0,0.068,0.0,148.64
QNLZ,DG1,QNLZ_DG1,DG1_Pump_9,7576.53,FWD DG RU,2021-05-01,813.33,1.52,61.15,1.83,-9.53,0.198,28.2,69.12
QNLZ,DG2,QNLZ_DG2,DG2_Pump_4,8668.78,FWD DG RU,2021-06-01,809.81,1.71,57.9,1.67,0.0,0.042,0.0,128.65
QNLZ,DG2,QNLZ_DG2,DG2_Pump_2,9057.45,FWD DG RU,2021-07-01,809.31,1.61,57.42,1.48,0.0,0.034,0.0,118.65
QNLZ,DG1,QNLZ_DG1,DG1_Pump_1,11425.0,FWD DG RU,2021-08-01,808.81,1.5,56.92,1.27,0.0,0.021,0.0,108.65
QNLZ,DG1,QNLZ_DG1,DG1_Pump_2,12870.29,FWD DG RU,2021-09-01,808.32,1.41,56.42,1.08,0.0,0.003,0.0,98.65
QNLZ,DG2,QNLZ_DG2,DG2_Pump_11,4518.51,FWD DG RU,2021-10-01,810.32,1.57,63.79,1.06,-1.65,0.11,90.65,181.65
